Season,Name,Invention_1,Mystery_1,Immunity_1,Elimination_1,Invention_2,Mystery_2,Immunity_2,Elimination_2,Invention_3,Mystery_3,Immunity_3,Elimination_3,Invention_4,Mystery_4,Immunity_4,Elimination_4,Invention_5,Mystery_5,Immunity_5,Elimination_5,Invention_6,Mystery_6,Immunity_6,Elimination_6,Invention_7,Mystery_7,Immunity_7,Elimination_7,Invention_8,Mystery_8,Immunity_8,Elimination_8,Invention_9,Mystery_9,Immunity_9,Elimination_9,Invention_10,Mystery_10,Immunity_10,Elimination_10,Invention_11,Mystery_11,Immunity_11,Elimination_11,Label
12,Brendan,IN,Team Lose,None,Top,Team Lose,None,Top,Top,None,IN,None,Btm,Team Win,None,IN,Btm,Team Win,None,IN,Btm,Team Lose,None,IN,Btm 12,Team Win,None,Top,Btm,None,None,IN,Top,Team Lose,None,IN,Team Win,Elim,None,Top,Btm,Elim,Elim,Elim,Elim,Elim
12,Callum,IN,Win,None,Immune,Team 2nd,None,IN,IN,None,Top 4,IN,Btm,Team Win,None,IN,Btm,Team Lose,None,IN,Btm,Team Win,None,IN,Btm 12,Team Lose,None,IN,Btm,None,None,Win,Immune,Team 2nd,None,IN,Team 2nd,None,None,Top,IN,None,None,Top,Top,Unknown
12,Emelia,Top,Team Lose,None,IN,Team 2nd,None,IN,IN,None,IN,None,IN,Team Lose,None,Top,Btm,Team Win,None,IN,Win,Team Win,None,IN,Btm,Win,None,Immune,Immune,None,None,IN,Top,Team 2nd,None,Top,Team Lose,None,None,IN,Btm,None,None,In,Top,Unknown
12,Khanh,IN,Team Win,None,IN,Team Lose,IN,Top,IN,Imm,IN,None,Btm,Team Win,None,IN,Btm,Team Win,None,IN,Win,Team Lose,None,IN,Btm,Team Win,None,Top,Top,None,None,Top,Btm,Team Win,None,IN,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Laura,Top,Team Lose,None,Top,Team Lose,IN,Top,IN,Team Lose,Top,IN,IN,Team Lose,None,IN,Btm,Team Lose,None,IN,Btm,Team Lose,None,IN,Btm,Team Lose,None,IN,Btm,None,None,IN,Btm,Team Win,None,Top,Btm,None,None,IN,IN,None,None,Win,Immune,Unknown
12,Poh,IN,Team Win,None,IN,Team 2nd,None,IN,IN,Team Lose,IN,None,IN,Btm,None,IN,Btm,Btm,None,Win,Immune,Team Win,None,Top,Btm 12,Team Lose,None,Top,Btm,None,None,Top,Top,Btm,None,Top,Team 2nd,None,None,IN,IN,None,None,Top,Btm,Unknown
12,Reece,IN,Team Lose,None,IN,Btm,None,IN,IN,None,IN,None,IN,Btm,None,IN,Btm,Team Win,None,Top,Win,Team Win,None,Top,Btm,Team Lose,None,IN,Top,None,None,IN,Btm,Team Lose,None,Win,Immune,None,None,Win,Immune,None,None,IN,Top,Unknown
12,Reynold,Top,Team Lose,None,IN,Team Win,IN,Top,Top,Team 2nd,IN,None,Top,Team Win,None,IN,Btm,Team Lose,None,Top,Win,Team Win,None,IN,Btm 12,Team Lose,None,Win,Immune,None,None,IN,Btm,Team 3rd,None,IN,Team Lose,None,None,IN,Btm,None,None,IN,Btm,Unknown
12,Tessa,IN,Team Win,None,IN,Team Lose,None,IN,Top,Team Win,IN,None,IN,Team Lose,None,IN,Btm,Team Win,None,Top,Btm,Team Lose,None,IN,Btm 12,Team Lose,None,IN,Top,None,None,IN,Btm,Team 3rd,None,Top,Team Win,None,None,Top,Btm,None,None,IN,Btm,Elim
12,Sarah T.,IN,Team Win,None,IN,Team Win,Win,Win,Immune,Team Lose,Top 4,IN,Top,Team Win,None,IN,Btm,Team Win,None,Top,Btm,Btm,None,IN,Btm 12,Team Lose,None,IN,Btm,None,None,IN,Btm,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Simon,IN,Team Win,None,Top,Team Win,None,IN,IN,Team 2nd,IN,None,Top,Team Lose,None,IN,Btm,Team Win,None,Top,Win,Team Lose,None,Top,Btm 12,Team Win,None,IN,Btm,None,None,IN,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Jess,IN,Team Lose,None,IN,Team 2nd,None,IN,IN,None,Win,Win,Immune,Team Win,None,IN,Btm,Team Lose,None,IN,Win,Team Win,None,Win,Immune,Team Lose,None,Top,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Tracy,IN,Team Lose,None,IN,Team 2nd,None,IN,IN,None,IN,None,Top,Team Win,None,Top,Btm,Team Lose,None,IN,Win,Team Win,None,IN,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Sarah C.,IN,Top,None,IN,Team 2nd,None,IN,IN,None,IN,None,IN,None,None,IN,Btm,Team Lose,None,IN,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Hayden,IN,Team Win,None,Btm,Team Win,None,IN,IN,Btm,IN,None,Btm,Team Win,None,Top,Btm,Btm,None,IN,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Ben U.,IN,Team Win,None,IN,Btm,IN,Top,IN,None,IN,None,Top,Btm,None,IN,Btm,Team Win,None,IN,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Amina,IN,Team Win,None,IN,Team Win,None,IN,IN,Team Lose,IN,None,Btm,Team Lose,None,Win,Immune,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Chris,IN,Team Lose,None,Btm,Team Lose,None,IN,IN,None,IN,None,Btm,Team Win,None,IN,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Rose,IN,Team Win,None,Btm,Team 2nd,None,IN,Btm,None,IN,None,Btm,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Dani,Win,Team Lose,Immune,IN,Team Win,None,IN,IN,None,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Harry,IN,Team Lose,None,IN,Team Win,None,IN,IN,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Ben M.,IN,Team Lose,None,Top,Team 2nd,None,IN,Bttm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Courtney,IN,Team Lose,None,Btm,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
12,Lynton,IN,Top,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
